PSO-NN - Hidden Layer Data

HL05
Epoch,Run 1,Run 3,Run 4,Run 5,Run 7,Run 11,Run 15,Run 17,Run 18,Run 20,Mean
9,0.8682,0.8965,0.8824,0.8675,0.9165,0.8282,0.8192,0.8516,0.9648,0.9084,0.8803300000000001
10,0.8441,0.8851,0.8824,0.8501,0.8973,0.811,0.7952,0.8417,0.9214,0.8793,0.8607600000000002
11,0.8017,0.8762,0.8465,0.8327,0.8816,0.7973,0.7782,0.8091,0.9018,0.8644,0.83895
12,0.7757,0.8186,0.8214,0.8175,0.8671,0.7883,0.7635,0.7827,0.8669,0.8532,0.8154899999999999
13,0.7523,0.7961,0.7865,0.8037,0.8559,0.7745,0.7586,0.768,0.8473,0.8488,0.7991699999999999
14,0.7385,0.7378,0.7764,0.7934,0.822,0.7694,0.7504,0.7555,0.8352,0.8368,0.78154
15,0.7315,0.718,0.7639,0.7714,0.8025,0.7624,0.742,0.7479,0.8179,0.8321,0.76896
16,0.7165,0.6973,0.7578,0.7698,0.7993,0.7553,0.7399,0.7318,0.8108,0.8274,0.7605900000000001
17,0.7049,0.6969,0.7495,0.7612,0.7941,0.7518,0.7362,0.7287,0.8044,0.8226,0.75503
18,0.6892,0.6846,0.7423,0.7543,0.7913,0.7492,0.7345,0.7257,0.7973,0.8168,0.74852
19,0.6824,0.6739,0.7399,0.7481,0.7903,0.7472,0.7327,0.724,0.7923,0.809,0.74398
20,0.675,0.6644,0.7358,0.7448,0.7876,0.7452,0.7315,0.7206,0.7847,0.8053,0.73949
21,0.6717,0.6595,0.7336,0.7414,0.7852,0.7433,0.7308,0.7156,0.7804,0.7994,0.7360900000000001
22,0.6683,0.6594,0.7304,0.7399,0.7829,0.742,0.73,0.7144,0.7754,0.7963,0.7339
23,0.6665,0.6563,0.7284,0.7387,0.781,0.7413,0.7294,0.7129,0.7725,0.7934,0.73204
24,0.6644,0.6525,0.7268,0.7376,0.778,0.7403,0.729,0.7117,0.7699,0.7918,0.7302
25,0.6633,0.6497,0.7249,0.7368,0.7761,0.7397,0.7287,0.7111,0.7668,0.79,0.72871
