PSO-NN - Swarm Size Data

SS010
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 10,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 26,Run 27,Run 29,Run 30,Mean
12,0.8063,0.6525,0.8813,0.8027,0.7279,0.8167,0.7886,0.7479,0.7791,0.7075,0.8604,0.6722,0.8351,0.6638,0.8534,0.8101,0.8636,0.8527,0.8318,0.704,0.6989,0.8347,0.7833,0.7815000000000001
13,0.8063,0.648,0.8524,0.7345,0.7239,0.8167,0.7886,0.7099,0.7626,0.6951,0.8561,0.6682,0.8143,0.6548,0.8208,0.805,0.8426,0.8527,0.8059,0.6932,0.6989,0.8124,0.7547,0.7659826086956522
14,0.8063,0.648,0.8351,0.7044,0.7223,0.7998,0.7873,0.6784,0.7626,0.6822,0.8369,0.6484,0.8143,0.6506,0.8097,0.7999,0.7928,0.8237,0.7924,0.675,0.6989,0.8063,0.7329,0.7525304347826088
15,0.8063,0.627,0.8351,0.6996,0.7054,0.7998,0.7842,0.6721,0.7626,0.6763,0.7878,0.6416,0.8134,0.6371,0.8021,0.7793,0.7708,0.8041,0.7888,0.6587,0.6912,0.7968,0.72,0.7417434782608695
16,0.7993,0.6212,0.8257,0.684,0.7002,0.7985,0.7842,0.6721,0.755,0.6705,0.7816,0.622,0.8066,0.6323,0.7862,0.7789,0.761,0.761,0.7799,0.6535,0.6912,0.7883,0.7108,0.7332173913043477
17,0.7993,0.6156,0.81,0.6529,0.6917,0.7839,0.7806,0.6721,0.7478,0.6595,0.769,0.6207,0.784,0.6319,0.7835,0.7629,0.7564,0.7522,0.7768,0.6416,0.691,0.7805,0.7038,0.7246826086956522
18,0.7924,0.6078,0.7875,0.6285,0.6858,0.7819,0.7679,0.6633,0.7457,0.6575,0.7565,0.5982,0.7735,0.6263,0.7761,0.7629,0.7347,0.7469,0.7687,0.638,0.6845,0.7753,0.6936,0.7153695652173913
19,0.7856,0.6043,0.7847,0.6138,0.6812,0.7693,0.7545,0.6568,0.7354,0.6533,0.7406,0.5979,0.757,0.6177,0.7513,0.7594,0.7259,0.7429,0.7637,0.6235,0.6728,0.7707,0.6878,0.7065260869565217
20,0.7736,0.6028,0.7714,0.6043,0.6729,0.7622,0.7142,0.6464,0.7331,0.6475,0.7316,0.5942,0.7519,0.6157,0.7499,0.7551,0.7048,0.7361,0.7626,0.607,0.6358,0.7632,0.6829,0.6964869565217391
21,0.7654,0.6011,0.7585,0.6003,0.6683,0.7531,0.7079,0.6353,0.7309,0.6456,0.7295,0.5927,0.7354,0.6133,0.7404,0.7508,0.6911,0.7286,0.7561,0.582,0.6322,0.7593,0.6797,0.6894565217391304
