BP-NN - Learning Rate Data

LR0001
Epoch,Run 2,Run 4,Run 5,Run 7,Run 10,Run 11,Run 14,Run 17,Run 18,Run 19,Mean
22,0.0407,0.0514,0.0447,0.0381,0.0332,0.0401,0.0377,0.0433,0.0431,0.0359,0.040819999999999995
23,0.0387,0.0482,0.0455,0.0402,0.0289,0.0384,0.0334,0.0413,0.0368,0.0348,0.03862
24,0.0358,0.0469,0.0433,0.034,0.0294,0.0393,0.0325,0.035,0.038,0.0306,0.03648
25,0.0331,0.0416,0.0404,0.0326,0.0273,0.0348,0.0321,0.0403,0.0393,0.0267,0.034820000000000004

LR1000
Epoch,Run 2,Run 3,Run 7,Run 8,Run 9,Run 10,Run 13,Run 17,Run 18,Run 19,Mean
1,0.5911,0.6102,0.5932,0.5865,0.5801,0.6138,0.602,0.5825,0.5772,0.636,0.59726
2,0.2956,0.348,0.2955,0.3292,0.2782,0.318,0.3291,0.2962,0.2858,0.3267,0.31022999999999995
3,0.2529,0.3203,0.3145,0.3242,0.2484,0.2381,0.2615,0.2442,0.2538,0.3487,0.28066
4,0.3276,0.2375,0.2709,0.2574,0.2463,0.2538,0.2705,0.2388,0.2572,0.2785,0.26385000000000003
5,0.3245,0.2385,0.2426,0.2971,0.2617,0.2359,0.295,0.2119,0.251,0.2442,0.26023999999999997
6,0.334,0.2901,0.2186,0.2692,0.3319,0.215,0.2701,0.2246,0.2797,0.2341,0.26673
7,0.2565,0.3079,0.199,0.2652,0.2966,0.2058,0.3676,0.2095,0.2735,0.2658,0.26474
8,0.2345,0.3275,0.2201,0.3332,0.2581,0.2177,0.2742,0.1911,0.2776,0.225,0.2559
9,0.226,0.2763,0.2335,0.2739,0.2282,0.2714,0.256,0.1983,0.3864,0.2122,0.25622
10,0.221,0.3261,0.2073,0.2711,0.2624,0.2995,0.2761,0.2027,0.233,0.2125,0.25117
11,0.2576,0.2293,0.1954,0.267,0.2163,0.2454,0.2575,0.1898,0.2226,0.2159,0.22968000000000002
12,0.2799,0.2699,0.2438,0.2301,0.2225,0.3111,0.2343,0.1896,0.2343,0.212,0.24275000000000002
13,0.2538,0.2784,0.2309,0.2525,0.2219,0.226,0.2225,0.1779,0.2377,0.2516,0.23531999999999997
14,0.2341,0.2518,0.1986,0.2575,0.2393,0.2483,0.2518,0.2197,0.2342,0.3002,0.24355000000000002
15,0.2596,0.2768,0.1807,0.2285,0.2056,0.2383,0.2594,0.2083,0.2417,0.2654,0.23643
16,0.2367,0.2222,0.1985,0.2483,0.2025,0.2147,0.2698,0.1909,0.2738,0.2584,0.23157999999999998
17,0.2282,0.2017,0.2046,0.2374,0.1918,0.2348,0.248,0.2074,0.2135,0.2912,0.22586
18,0.2296,0.2633,0.2053,0.2741,0.223,0.2371,0.2774,0.2134,0.2023,0.4147,0.25402
19,0.2435,0.2579,0.2082,0.2507,0.2277,0.212,0.2545,0.2186,0.2905,0.3122,0.24757999999999997
20,0.2305,0.2021,0.2142,0.2483,0.2775,0.2155,0.2431,0.1782,0.2494,0.2613,0.23201
21,0.2261,0.4481,0.2017,0.225,0.2788,0.2176,0.2559,0.1779,0.2083,0.2168,0.24562
22,0.225,0.2987,0.2107,0.2275,0.2574,0.2178,0.2845,0.1651,0.1714,0.247,0.23051000000000005
23,0.2615,0.1995,0.2024,0.2306,0.228,0.2202,0.3431,0.1759,0.1818,0.2256,0.22686
24,0.219,0.2194,0.2064,0.218,0.2164,0.2309,0.2741,0.1592,0.2067,0.2548,0.22049
25,0.2232,0.2013,0.1956,0.2246,0.2309,0.2106,0.2382,0.173,0.2281,0.2406,0.21661000000000002
