BP-NN - Hidden Layer Data

HL05
Epoch,Run 1,Run 2,Run 3,Run 4,Run 8,Run 9,Run 10,Run 12,Run 13,Run 15,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 30,Mean
21,0.0457,0.0426,0.0631,0.0738,0.0616,0.0574,0.0432,0.0551,0.0431,0.0427,0.0665,0.0674,0.0406,0.0746,0.0823,0.0505,0.0414,0.0483,0.0408,0.0401,0.0559,0.053,0.0459,0.053721739130434785
22,0.0433,0.0426,0.0602,0.0665,0.0551,0.0484,0.0378,0.0474,0.0439,0.0468,0.0637,0.0644,0.0387,0.0647,0.0774,0.0456,0.0348,0.0432,0.0418,0.0355,0.0564,0.0453,0.0421,0.04980869565217391
23,0.041,0.0363,0.0518,0.0623,0.0507,0.0478,0.0359,0.0447,0.0399,0.0404,0.0603,0.0557,0.0363,0.0646,0.0736,0.0452,0.0342,0.0396,0.0406,0.0404,0.0516,0.0493,0.038,0.04696521739130434
24,0.037,0.0358,0.0507,0.0583,0.0446,0.0449,0.0345,0.0363,0.0405,0.0436,0.0547,0.0505,0.0368,0.0604,0.0703,0.0408,0.0344,0.0444,0.0472,0.0338,0.0482,0.0403,0.0381,0.04461304347826087
25,0.032,0.0327,0.0461,0.0517,0.0504,0.0449,0.0352,0.0362,0.0365,0.0395,0.0502,0.0516,0.0359,0.0563,0.0607,0.0408,0.0362,0.0357,0.0324,0.0311,0.0518,0.0433,0.0318,0.041869565217391304

HL15
Epoch,Run 1,Run 2,Run 5,Run 6,Run 8,Run 9,Run 10,Run 11,Run 13,Run 14,Run 16,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 30,Mean
1,0.7603,0.7858,0.7111,0.7464,0.7639,0.7604,0.7737,0.7344,0.7822,0.7638,0.7554,0.7059,0.705,0.7338,0.7116,0.7498,0.7302,0.7216,0.7684,0.7737,0.7344,0.7717,0.7104,0.7458217391304348
2,0.5263,0.5779,0.472,0.5277,0.5234,0.4986,0.5376,0.5084,0.554,0.5209,0.5247,0.4872,0.4505,0.4727,0.478,0.5269,0.4828,0.491,0.5236,0.4988,0.5044,0.5259,0.5099,0.5097043478260869
3,0.3779,0.4033,0.3236,0.3934,0.3763,0.3364,0.3736,0.3423,0.4004,0.3622,0.352,0.3581,0.3034,0.325,0.3243,0.3873,0.3564,0.3399,0.3607,0.3553,0.3699,0.3495,0.3713,0.3583695652173913
4,0.2799,0.2811,0.2417,0.2769,0.2881,0.2448,0.2665,0.2403,0.3246,0.2723,0.2496,0.2761,0.2175,0.2344,0.2279,0.2883,0.2719,0.2469,0.2641,0.27,0.2691,0.2416,0.2601,0.26233478260869564
5,0.2201,0.2102,0.1979,0.2009,0.2255,0.1951,0.197,0.1808,0.2647,0.2196,0.1876,0.2156,0.1645,0.1775,0.1771,0.2239,0.2122,0.2015,0.2092,0.2158,0.1893,0.1812,0.1952,0.20271304347826086
